id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 805 40 1 0 0.05 0.001 1
Unknown2 1440 35 31 0 0.05 0.001 1
Unknown3 2200 40 59 0 0.05 0.001 1
Unknown4 3690 40 95 0 0.05 0.001 1
Unknown5 4380 40 123 0 0.05 0.001 1
Unknown6 5670 45 163 0 0.05 0.001 1
Unknown7 6830 65 195 0 0.05 0.001 1
Unknown8 7390 50 215 0 0.05 0.001 1
Unknown9 8730 55 254 0 0.05 0.001 1
Unknown10 9360 45 274 0 0.05 0.001 1
Unknown11 9340 55 284 0 0.05 0.001 1
Unknown12 14470 60 335 0 0.05 0.001 1
Unknown13 14810 90 345 0 0.05 0.001 1
Unknown14 16250 100 381 0 0.05 0.001 1
Unknown15 17490 80 405 0 0.05 0.001 1
Unknown16 19320 80 441 0 0.05 0.001 1
Unknown17 20750 90 465 0 0.05 0.001 1
